uuid,normalized_job_code,country_code,age_group,age
ad832440-dae3-0133-3472-0a81e8b09a82,d06dfb43c95b585a89ae556c9221b573,BE,40_65,45 years old
11e48430-d9cc-0133-0caa-0a81e8b09a82,,BE,40_65,42 years old
0b072e10-daf8-0133-9680-0a81e8b09a82,c1b670eba9ccb65e7c99f7da116d5b9c,BE,26_39,1988
365ce720-d9bb-0133-b3f4-0a81e8b09a82,76b0ba6af40991629e20dff36edd02a5,BE,40_65,40 years old
720f84e0-da1a-0133-ac9e-0a81e8b09a82,,BE,14_25,1994
cbd8fe30-dbb5-0133-49be-0a81e8b09a82,,BE,26_39,1989
55dc1140-da1b-0133-af90-0a81e8b09a82,,BE,40_65,45 years old
9943e950-dd22-0133-9adf-0a81e8b09a82,90c5430dbc810aec8695af2f1f4c42e8,BE,40_65,52 years old
18e7ba30-d9dc-0133-9671-0a81e8b09a82,,BE,14_25,1999
fa4adae0-dc1f-0133-dc65-0a81e8b09a82,,BE,26_39,31 years old
2fae8710-d99f-0133-9ac2-0a81e8b09a82,1f8576bdffa64f492405d02b842c41a6,BE,14_25,1991
78156750-d949-0133-1a02-0a81e8b09a82,8a7a3f1bce0958ae9f090683e5a925b7,BE,14_25,1995
81630900-dcb8-0133-ef51-0a81e8b09a82,,BE,juvenile,1991
2bc31fc0-dacd-0133-7ae0-0a81e8b09a82,775190277a849cba701b306a7b374c0a,BE,26_39,38 years old
5fcac6c0-dad5-0133-3d17-0a81e8b09a82,7acaed29536648e45ea2b82d45047fcf,BE,40_65,47 years old
4f083df0-da5a-0133-3d06-0a81e8b09a82,6408c0d7c7faa4ced47fbc8474698126,BE,40_65,42 years old
ac53fcf0-dcab-0133-cbb5-0a81e8b09a82,e2f68bf748aea2c7d2254550c0c92b23,BE,26_39,1990
05ec6620-da6f-0133-e6b2-0a81e8b09a82,,BE,14_25,1994
6c646dd0-d988-0133-9904-0a81e8b09a82,7bb15eefb19ed09c59349baad7e8469e,BE,26_39,38 years old
92c27100-d9d0-0133-c4db-0a81e8b09a82,8a7a3f1bce0958ae9f090683e5a925b7,BE,40_65,43 years old
2fe43a00-d941-0133-c58e-0a81e8b09a82,,BE,40_65,42 years old
49f476a0-dadf-0133-25cc-0a81e8b09a82,02e4c028f64f176de2f54bbc2f5403ce,BE,40_65,44 years old
05fde350-dcaa-0133-c61c-0a81e8b09a82,,BE,40_65,46 years old
b32e3370-db21-0133-0eff-0a81e8b09a82,d06dfb43c95b585a89ae556c9221b573,BE,40_65,48 years old
28902e30-dcb0-0133-a69e-0a81e8b09a82,569da68cdcac43a3b4a0126ea9170570,BE,26_39,1989
a3a7b940-d8f1-0133-1602-0a81e8b09a82,569da68cdcac43a3b4a0126ea9170570,BE,26_39,32 years old
d24f93e0-da48-0133-3d38-0a81e8b09a82,,BE,juvenile,2002
1beef120-da09-0133-208d-0a81e8b09a82,,BE,14_25,1995
23492790-d8f9-0133-b638-0a81e8b09a82,,BE,14_25,1997
691e8910-dd69-0133-d6c7-0a81e8b09a82,,BE,40_65,42 years old
afad4050-de63-0133-8b76-0a81e8b09a82,,BE,40_65,51 years old
4c5021d0-da87-0133-e7a4-0a81e8b09a82,,BE,14_25,1995
21ef14d0-dc83-0133-eb54-0a81e8b09a82,,BE,26_39,38 years old
3de45ce0-dd38-0133-094d-0a81e8b09a82,,BE,26_39,1990
681aecb0-d959-0133-5c2c-0a81e8b09a82,ced804d972b03cca6d523ec8925a7943,BE,40_65,48 years old
dbc1f9b0-dc10-0133-0d5b-0a81e8b09a82,,BE,40_65,53 years old
60c5e510-da24-0133-f156-0a81e8b09a82,,BE,juvenile,1996
4b9eb3e0-db19-0133-3d8e-0a81e8b09a82,41b2978a2c07c5f477e60f26372d6c85,BE,40_65,56 years old
d3e0dad0-da6e-0133-e56e-0a81e8b09a82,d9e964a222fdd9527319ad88adbfaa2e,BE,40_65,40 years old
0df2ad10-dcd2-0133-9cd6-0a81e8b09a82,e2f68bf748aea2c7d2254550c0c92b23,BE,40_65,43 years old
e0f9a3b0-d98c-0133-f061-0a81e8b09a82,,BE,26_39,1990
83b04b10-db3d-0133-da61-0a81e8b09a82,ac47656fd51c2cd8037057262c910dc4,BE,14_25,1992
d220fad0-d9a9-0133-828b-0a81e8b09a82,2ee80cf30e2483dfe0947adc0428f8c5,BE,14_25,1991
8ba9cd50-d8ad-0133-6e28-0a81e8b09a82,775190277a849cba701b306a7b374c0a,BE,26_39,39 years old
5f326eb0-da6a-0133-0a54-0a81e8b09a82,e55556364d2096578fd153e9800e826f,BE,40_65,45 years old
4022a650-da6b-0133-1057-0a81e8b09a82,375017ea3a1a97f5ea676def873bb25b,BE,26_39,33 years old
fb8cd6f0-db3c-0133-4604-0a81e8b09a82,,BE,14_25,2000
9a467480-dcaf-0133-a462-0a81e8b09a82,,BE,26_39,1989
bd07f440-da51-0133-f0a9-0a81e8b09a82,,BE,40_65,56 years old
917dd2a0-d955-0133-89f1-0a81e8b09a82,e49986dae76619a3941d280ee14d38ae,BE,14_25,1992
8857b610-dc8e-0133-4bf7-0a81e8b09a82,76385cb24e831b3364279b9de5641d8f,BE,40_65,56 years old
986f8800-da55-0133-476f-0a81e8b09a82,141ddda0f613da65a280521247de0e9f,BE,14_25,1991
13f43320-dd40-0133-21ed-0a81e8b09a82,,BE,40_65,45 years old
a60c3d40-dcaa-0133-c82f-0a81e8b09a82,16b67d7f57698455aefbc1ae1b358b50,BE,40_65,45 years old
f30223b0-d950-0133-5b67-0a81e8b09a82,8a7a3f1bce0958ae9f090683e5a925b7,BE,40_65,50 years old
cd5c6a90-d9a9-0133-826f-0a81e8b09a82,f842344417ed2fc226d9cc00f9562458,BE,40_65,45 years old
585e45f0-d994-0133-a3f6-0a81e8b09a82,,BE,14_25,1997
260b75a0-dc77-0133-38d8-0a81e8b09a82,5e93fd1a58c8a67b295f69d87d1a940d,BE,40_65,43 years old
cb233740-d906-0133-cee6-0a81e8b09a82,16b67d7f57698455aefbc1ae1b358b50,BE,40_65,41 years old
a534ee30-d977-0133-0bbc-0a81e8b09a82,,BE,14_25,1993
1f5c2970-da12-0133-929e-0a81e8b09a82,16b67d7f57698455aefbc1ae1b358b50,BE,40_65,50 years old
ca4b3290-d995-0133-fb70-0a81e8b09a82,,BE,juvenile,1996
